timestamp,machine_id,temperature,vibration,pressure,rpm,voltage
2025-06-01 00:00:00,MCH_001,67.11,0.013,3.22,1935,224.21
2025-06-01 00:15:00,MCH_001,89.77,0.0356,3.63,1637,211.53
2025-06-01 00:30:00,MCH_001,85.5,0.0445,3.91,1794,231.84
2025-06-01 00:45:00,MCH_001,83.02,0.0311,3.39,1744,238.95
2025-06-01 01:00:00,MCH_001,77.14,0.0408,3.82,1623,233.13
2025-06-01 01:15:00,MCH_001,76.37,0.0506,4.16,1722,227.67
2025-06-01 01:30:00,MCH_001,65.49,0.0325,3.09,1671,226.25
2025-06-01 01:45:00,MCH_001,66.35,0.045,3.65,1749,229.97
2025-06-01 02:00:00,MCH_001,79.61,0.0498,3.78,1807,225.92
2025-06-01 02:15:00,MCH_001,74.31,0.0309,2.71,1678,235.67
2025-06-01 02:30:00,MCH_001,74.92,0.0659,3.71,1802,231.79
2025-06-01 02:45:00,MCH_001,82.55,0.0557,2.39,1638,238.3
2025-06-01 03:00:00,MCH_001,85.11,0.029,3.68,1673,228.59
2025-06-01 03:15:00,MCH_001,63.9,0.0448,3.94,1639,231.63
2025-06-01 03:30:00,MCH_001,75.82,0.0489,3.0,1764,227.06
2025-06-01 03:45:00,MCH_001,73.96,0.033,3.3,1682,226.91
2025-06-01 04:00:00,MCH_001,85.87,0.038,3.73,1908,236.36
2025-06-01 04:15:00,MCH_001,72.04,0.0357,3.5,1701,225.34
2025-06-01 04:30:00,MCH_001,76.99,0.0261,3.56,1833,235.9
2025-06-01 04:45:00,MCH_001,76.98,0.0591,3.22,1691,235.98
2025-06-01 05:00:00,MCH_001,86.04,0.0895,4.0,1684,233.3
2025-06-01 05:15:00,MCH_001,71.13,0.0458,3.88,1564,241.54
2025-06-01 05:30:00,MCH_001,72.7,0.0269,3.32,1771,223.49
2025-06-01 05:45:00,MCH_001,91.76,0.0464,2.83,1613,238.15
2025-06-01 06:00:00,MCH_001,68.65,0.0447,2.8,1574,221.13
2025-06-01 06:15:00,MCH_001,80.6,0.0479,3.23,1654,232.6
2025-06-01 06:30:00,MCH_001,65.82,0.0395,5.18,1798,237.12
2025-06-01 06:45:00,MCH_001,80.17,0.027,3.22,1591,228.6
2025-06-01 07:00:00,MCH_001,86.48,0.0298,3.72,1710,235.25
2025-06-01 07:15:00,MCH_001,73.94,0.0651,3.8,1974,231.53
2025-06-01 07:30:00,MCH_001,68.82,0.0324,3.09,1643,232.27
2025-06-01 07:45:00,MCH_001,62.73,0.0404,3.25,1853,235.17
2025-06-01 08:00:00,MCH_001,68.03,0.0271,3.75,1607,228.26
2025-06-01 08:15:00,MCH_001,73.4,0.045,3.23,1687,230.41
2025-06-01 08:30:00,MCH_001,78.49,0.0384,2.97,1867,230.95
2025-06-01 08:45:00,MCH_001,69.96,0.0637,3.55,1639,223.58
2025-06-01 09:00:00,MCH_001,68.8,0.0384,3.63,1822,222.17
2025-06-01 09:15:00,MCH_001,86.46,0.0327,3.21,1756,239.13
2025-06-01 09:30:00,MCH_001,77.25,0.0578,3.63,1769,233.87
2025-06-01 09:45:00,MCH_001,81.89,0.0322,3.82,1623,238.72
2025-06-01 10:00:00,MCH_001,78.47,0.0474,3.52,1748,228.24
2025-06-01 10:15:00,MCH_001,76.39,0.0457,3.14,1589,230.94
2025-06-01 10:30:00,MCH_001,79.76,0.0543,3.34,1879,234.7
2025-06-01 10:45:00,MCH_001,77.25,0.0114,2.43,1708,223.52
2025-06-01 11:00:00,MCH_001,72.35,0.0538,4.23,1859,234.44
2025-06-01 11:15:00,MCH_001,68.79,0.0295,4.04,1775,231.73
2025-06-01 11:30:00,MCH_001,73.64,0.0395,4.42,1728,227.56
2025-06-01 11:45:00,MCH_001,77.62,0.0479,4.55,1440,225.43
2025-06-01 12:00:00,MCH_001,80.91,0.0513,5.34,1561,230.51
2025-06-01 12:15:00,MCH_001,73.56,0.024,3.25,1984,225.24
2025-06-01 12:30:00,MCH_001,70.75,0.0548,4.11,1696,231.57
2025-06-01 12:45:00,MCH_001,74.11,0.0502,4.1,1708,234.24
2025-06-01 13:00:00,MCH_001,71.97,0.0487,4.36,1790,226.79
2025-06-01 13:15:00,MCH_001,63.07,0.0645,3.4,1929,230.43
2025-06-01 13:30:00,MCH_001,77.73,0.0292,4.33,1659,232.0
2025-06-01 13:45:00,MCH_001,71.79,0.0377,3.71,1662,224.14
2025-06-01 14:00:00,MCH_001,65.69,0.0171,2.54,1722,227.5
2025-06-01 14:15:00,MCH_001,76.85,0.0306,3.87,1721,231.14
2025-06-01 14:30:00,MCH_001,71.66,0.0608,2.98,1761,220.42
2025-06-01 14:45:00,MCH_001,81.16,0.051,4.65,1880,224.12
2025-06-01 15:00:00,MCH_001,76.16,0.0575,3.53,1575,223.38
2025-06-01 15:15:00,MCH_001,69.07,0.0325,3.57,1780,233.61
2025-06-01 15:30:00,MCH_001,73.14,0.0415,4.36,1665,229.71
2025-06-01 15:45:00,MCH_001,79.74,0.0606,2.12,1729,227.75
2025-06-01 16:00:00,MCH_001,86.4,0.0547,2.49,1667,231.56
2025-06-01 16:15:00,MCH_001,69.82,0.0761,4.25,1639,224.16
2025-06-01 16:30:00,MCH_001,72.17,0.0445,4.1,1522,236.62
2025-06-01 16:45:00,MCH_001,79.82,0.0805,3.59,1552,238.4
2025-06-01 17:00:00,MCH_001,69.61,0.036,3.43,1942,228.81
2025-06-01 17:15:00,MCH_001,79.83,0.0229,3.15,1871,230.84
2025-06-01 17:30:00,MCH_001,75.94,0.0305,3.55,1475,225.72
2025-06-01 17:45:00,MCH_001,62.72,0.0417,4.72,1713,237.96
2025-06-01 18:00:00,MCH_001,72.56,0.041,3.28,1668,232.5
2025-06-01 18:15:00,MCH_001,76.98,0.0613,3.48,1606,222.99
2025-06-01 18:30:00,MCH_001,76.82,0.0449,3.7,1616,225.24
2025-06-01 18:45:00,MCH_001,71.95,0.0592,4.6,1801,231.95
2025-06-01 19:00:00,MCH_001,78.38,0.0474,3.2,1691,230.69
2025-06-01 19:15:00,MCH_001,69.72,0.0278,3.82,1471,237.95
2025-06-01 19:30:00,MCH_001,77.59,0.0323,2.98,1600,226.52
2025-06-01 19:45:00,MCH_001,70.47,0.0565,2.95,1911,219.29
2025-06-01 20:00:00,MCH_001,85.07,0.0476,3.14,1781,235.06
2025-06-01 20:15:00,MCH_001,77.11,0.0596,3.01,1599,222.45
2025-06-01 20:30:00,MCH_001,72.95,0.0114,2.25,1593,235.91
2025-06-01 20:45:00,MCH_001,77.12,0.021,3.56,1675,231.68
2025-06-01 21:00:00,MCH_001,74.33,0.0417,2.94,1693,229.96
2025-06-01 21:15:00,MCH_001,75.4,0.0693,3.09,1800,226.98
2025-06-01 21:30:00,MCH_001,81.04,0.0262,3.27,1753,229.48
2025-06-01 21:45:00,MCH_001,77.25,0.0299,1.94,1675,211.82
2025-06-01 22:00:00,MCH_001,60.21,0.0397,3.76,1737,229.67
2025-06-01 22:15:00,MCH_001,73.65,0.057,3.27,1833,226.38
2025-06-01 22:30:00,MCH_001,80.51,0.0237,3.05,1675,241.72
2025-06-01 22:45:00,MCH_001,73.12,0.0232,3.79,1644,233.67
2025-06-01 23:00:00,MCH_001,74.51,0.0702,3.08,1535,228.44
2025-06-01 23:15:00,MCH_001,78.17,0.0484,3.27,1536,235.96
2025-06-01 23:30:00,MCH_001,84.21,0.0523,2.59,1687,236.0
2025-06-01 23:45:00,MCH_001,72.68,0.0358,3.91,1731,228.08
2025-06-02 00:00:00,MCH_001,73.72,0.0441,3.81,1476,234.3
2025-06-02 00:15:00,MCH_001,86.1,0.0486,4.62,1641,222.6
2025-06-02 00:30:00,MCH_001,70.64,0.0441,3.24,1693,235.98
2025-06-02 00:45:00,MCH_001,77.04,0.0388,4.0,1657,223.02
2025-06-02 01:00:00,MCH_001,71.07,0.0603,3.8,1684,227.04
2025-06-02 01:15:00,MCH_001,81.19,0.0422,4.07,1825,234.99
2025-06-02 01:30:00,MCH_001,71.17,0.0332,3.05,1779,214.58
2025-06-02 01:45:00,MCH_001,69.47,0.0436,3.6,1750,229.39
2025-06-02 02:00:00,MCH_001,72.13,0.0516,3.3,1616,233.21
2025-06-02 02:15:00,MCH_001,83.58,0.0526,3.97,1819,229.89
2025-06-02 02:30:00,MCH_001,68.05,0.0505,2.69,1666,223.05
